# of Execution,Weights,Epochs
0,[-3.25  8.05 -9.05  0.05],104
1,[-3.25  8.05 -9.05  0.05],104
2,[-3.25  8.05 -9.05  0.05],104
3,[-3.25  8.05 -9.05  0.05],104
4,[-3.25  8.05 -9.05  0.05],104
