# of Execution,Weights,Epochs
0,[ -2.85  12.81 -13.47   1.83],85
1,[ -2.85  12.81 -13.47   1.83],85
2,[ -2.85  12.81 -13.47   1.83],85
3,[ -2.85  12.81 -13.47   1.83],85
4,[ -2.85  12.81 -13.47   1.83],85
