# of Execution,Weights,Epochs
0,[-1.9  7.8 -8.4  1. ],95
1,[-1.9  7.8 -8.4  1. ],95
2,[-1.9  7.8 -8.4  1. ],95
3,[-1.9  7.8 -8.4  1. ],95
4,[-1.9  7.8 -8.4  1. ],95
