Edad,Frecuencia,Grado de pertenencia
11,1,0.007936507936507936
12,2,0.015873015873015872
13,3,0.023809523809523808
14,13,0.10317460317460317
15,42,0.3333333333333333
16,60,0.47619047619047616
17,82,0.6507936507936508
18,111,0.8809523809523809
19,119,0.9444444444444444
20,126,1.0
21,125,0.9920634920634921
22,124,0.9841269841269841
23,123,0.9761904761904762
24,122,0.9682539682539683
25,118,0.9365079365079365
26,104,0.8253968253968254
27,92,0.7301587301587301
28,79,0.626984126984127
29,64,0.5079365079365079
30,53,0.42063492063492064
31,34,0.2698412698412698
32,31,0.24603174603174602
33,24,0.19047619047619047
34,23,0.18253968253968253
35,21,0.16666666666666666
36,9,0.07142857142857142
37,7,0.05555555555555555
38,7,0.05555555555555555
39,6,0.047619047619047616
40,5,0.03968253968253968
41,4,0.031746031746031744
42,4,0.031746031746031744
43,4,0.031746031746031744
44,4,0.031746031746031744
45,4,0.031746031746031744
46,3,0.023809523809523808
47,3,0.023809523809523808
48,3,0.023809523809523808
49,3,0.023809523809523808
50,2,0.015873015873015872
51,1,0.007936507936507936
52,1,0.007936507936507936
